,RSI 5,AVG DAILY RETURN 5,AVG WEEKLY RETURN 5,RATIO 5,RSI 10,AVG DAILY RETURN 10,AVG WEEKLY RETURN 10,RATIO 10,RSI 30,AVG DAILY RETURN 30,AVG WEEKLY RETURN 30,AVG MONTHLY RETURN 30,RATIO 30,RSI 60,AVG DAILY RETURN 60,AVG WEEKLY RETURN 60,AVG MONTHLY RETURN 60,RATIO 60,MACD 10_30,MACD 5_10,MACD 2_10,MACD 10_30 DIFF,MACD 5_10 DIFF,MACD 2_10 DIFF
6903,47.15652647636903,-0.3479142089607581,-1.533539096963478,1.014665674234699,59.93457821495716,0.0732961025644313,-0.8506420778289848,1.0243222657864,60.86965573796545,0.5431604234852948,2.321768517964768,11.49195164570231,0.9342628617006262,53.49686849658369,0.1822743596572978,0.9202042034994036,7.761830036195306,0.8514674346687531,1.170094242077298,-2.408878927519822,-3.909212967843722,-0.2204214444724428,-0.1650307973225935,-0.220365015665692
5471,82.65770954918926,0.6980254882548799,-2.726332405055822,1.023046604625849,56.52857907169162,0.2859181419171202,-2.032804998797907,1.026575230649545,54.85734599819649,0.1561492763917732,-0.4470848307373654,0.8930242407729738,0.9957680101772618,46.79527946148428,-0.1537090134159906,-1.174972390051062,-1.728602675404149,0.9915798817662906,-1.620463871140181,-3.754337842536678,-6.75651450879645,-0.149452145707933,-0.04658568411161923,-0.02691049286813296
1907,45.56262284703742,0.1583030102935168,-1.045626492212451,0.9894712603660407,34.82736877148699,0.0972150747427596,-1.174838603777904,0.9954041383458816,56.20508018867188,0.1650614704896246,0.2124658351484741,3.116726685881738,0.9639471146973418,51.20922896861116,-0.09616129348793623,-0.4210787961424396,1.40232174766708,0.9474032541962308,-2.571516258112993,-7.005916780413969,-11.10609301942766,-0.1903907373154539,0.2792262915409083,1.169883589311098
1243,61.5744821785628,-0.01393085385812578,-1.319774977007991,1.001752003863989,45.86371977659239,-0.1297585006816307,-0.8473670891741524,1.000744167944553,58.93065539385618,0.1247723332189478,0.6287620224264967,4.83331318181282,0.9653637761314748,58.39007616283558,0.1889723503521053,0.545601449594284,5.777124356241115,0.9090748139790467,-1.609221074914444,-4.632017262776685,-7.755432637532536,-0.2503790265304389,-0.06010541048917162,-0.174022189053602
3779,38.21219130524172,0.3297581074508352,2.615352399624185,0.9524396978549641,58.58982034226322,0.3837046665239525,2.21491252829718,0.9442896815120682,54.44799662871829,0.1764220906675121,0.7219405812743662,5.222803503741416,0.8944738329087272,54.08030639304764,0.0989730579210685,0.8067990876869708,6.538252082157626,0.8504882254750812,0.8983829084379522,-7.286016660748089,-10.21070232969342,1.546511247174379,0.2828984116063111,2.6439086451675
3023,19.49753186501796,-0.42127027876335,-1.219033851216636,1.004935841773494,32.63380703223331,-0.5056628322053235,-1.861618347795446,1.009522110573712,40.61504100917131,-0.2738933966233054,-0.1469245120864119,1.826348053561651,0.9767727539397516,42.82263592789126,-0.1421685344422489,-0.6843148825255485,0.2178665517417568,0.9633693695185278,-1.067702469588035,-2.868499466867149,-4.775535040190718,-0.09112488009247244,0.1304366603042126,0.2342357173110514
6592,66.93813088405574,1.409909449817535,4.418717823279925,0.9470545919623616,65.29905406747822,1.896189838709666,9.680198796747149,0.8955100506447646,57.73385861993074,0.9497373240714199,7.515048489851079,35.16564867291824,0.7564894590899071,52.9571667766179,0.4889212346864255,3.753914802503909,23.53130545716481,0.6674269615877069,2.518251194026345,-0.07127268242113516,0.109393986788664,0.177995124287385,-0.3269090594667396,-0.4699092171408914
4630,60.35617687206463,0.3509174174299384,-0.9422512361892427,1.001834708371742,45.535635681797,0.3168288932010908,1.074957989653911,0.9880724778472294,47.73819240408518,0.1281087211198763,0.5099124712901058,3.999500656955891,0.9494038346102116,42.57095499945878,-0.2330343074211939,-1.489236967986068,-3.048947766084042,0.9850763702110361,-0.1082810228521183,-0.3330288901473528,-0.6150912935083559,0.006212659175795388,-0.01952928485292471,-0.04329462629376124
5934,39.21793751829469,-0.1484001612550605,-0.7195888060468618,1.033166995435804,50.03042273136338,-1.058771173731434,-6.369537098125633,1.080462945517621,53.51032584654046,-0.6339690855727252,-4.720520679544946,-13.1081998162308,1.18455301545888,49.70758815745791,-0.3566027424888851,-3.260728480443744,-10.19681788300388,1.277181925955816,-7.395417442209904,-4.517892409815929,-6.61643049066717,-0.4920974977554735,0.1492972056070982,-0.7484919230143205
5731,47.48294700581404,0.3597430149049272,-0.7351840042379385,0.9950221535145141,27.34824882033563,-0.04960885172907256,-1.586522605751118,0.9988743379632347,39.60209215120901,-0.09263056433374758,-1.714413742939073,-3.528819943962449,1.037030389596238,46.69564461322791,0.01767972327304201,-1.078451049342541,-1.332085771011685,1.036069304179322,-5.824906528357303,-3.633336015181108,-5.834500515099727,-0.06660234035517476,0.3248822761304311,0.3815284960197616
3034,54.19111380823732,-0.2185856503796778,-1.252952467372686,1.00580474467331,57.02958770827008,0.1670013919432484,-0.3850761222577863,1.002167357048363,53.26492101285989,-0.08278707554094664,0.2148107906692289,3.191427024752718,0.9860129787071115,46.19542401030518,-0.07622344691872648,-0.3943320024423344,1.583869570633093,0.9559615035211145,-1.921851244466858,-2.640356607148142,-4.460209181814484,-0.1464356143686487,-0.2051106424042786,-0.4880876830129992
6469,68.81100871194215,-0.5694027462328215,-1.499583194305461,1.017010288457797,44.94306313268737,-0.6191890630822164,-3.397950837460475,1.026202717234345,46.05295591947418,-0.3306544867849713,-2.756207826601722,-7.397560307915503,1.03714200584303,46.58291301528804,0.01645649783643545,0.3025620976732637,5.467156224588607,1.014347045132253,-0.7382150249164265,-0.7109998847499028,-1.236999812270653,-0.005854385223091896,0.04909090851292319,0.07209079915826955
5873,77.68941711492127,-0.1306518388302942,-1.2108757141714,0.9992106395742328,79.86084110760734,0.06925735339752134,-0.8105487989970653,1.003508238620289,62.84894659156796,0.02546774105912685,-1.076384410710058,-1.373395044567033,1.008199844259004,52.39347512235038,-0.05688433577641348,-1.265965543381275,-2.247376930879057,1.009915774405649,-3.464317752096086,-3.431864732684502,-5.526805172544535,-0.01018619966180978,-0.1419952739368711,-0.1923847545276942
